group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
calcite_cn,1.2142287823106960865,62.391196059757078274,2,3.3333333333333334814,0,0,1.6208357565185012028,0.60226407808082060846
dolomite_cn,15.915760230134260667,57.558236320150726328,0,0,0,0,1.883372492632169104,0.95063772321897066497
mix-ratio-sol-upstream_cn,3.5562537752781584466,67.638001984383365084,0,0,0,0,0.34800822885080479052,0.10875481876669261527
chromite_cn,62.899563686468731305,84.917612687753560863,2,3.3333333333333334814,0,0,1.3543501665556771929,0.55058203617266154861
illite_cn,15.290314556182202921,59.300321666318552616,1,1.6666666666666667407,0,0,1.2423036052616931446,0.43855684947658457595
halite_cn,29.292021606603839246,75.243528446429948531,1,1.6666666666666667407,0,0,1.5635897823743762913,0.5474483480978618033
fluorapatite_cn,18.428934836336321013,71.985309521081077833,1,1.6666666666666667407,0,0,1.6045674698033347561,0.3795648511168617234
mnoh3_cn,63.222134672536945743,82.439286949175368591,8,13.333333333333333925,0,0,1.524902528364188381,0.72811120201379131434
siderite_cn,6.4036235093498650173,49.596868555302854986,1,1.6666666666666667407,0,0,1.2539076748751658563,0.67524914666499991078
feoh3_cn,28.265260529523860811,65.753974813513039521,3,5,0,0,1.3711856629919629835,0.65460137022591335931
goethite_cn,7.125500745627230792,65.191304321290573398,2,3.3333333333333334814,0,0,1.2362381416731940131,0.46333318193249317662
arsenopyrite_cn,4.9970525865548554023,49.649204025940342433,8,13.333333333333333925,0,0,1.7914161840183560059,0.94943613058231757229
uraninite_cn,67.491041289451061402,83.815371028655377472,7,11.666666666666666075,0,0,1.6914296970076199145,0.84208055757562971788
muscovite_cn,52.576228158708403271,77.852192400149036189,3,5,0,0,1.4452675470827858195,0.67496755994485468921
kaolinite_cn,22.121449331386312309,76.737267584322978564,1,1.6666666666666667407,0,0,1.3702152052754210665,0.40929048368975623484
albite_cn,14.503896098224686284,73.461446228927584912,0,0,0,0,1.422758696699767178,0.44163367045365031771
quartz_cn,9.8434786055420939732,67.776113404746766378,2,3.3333333333333334814,0,0,1.3868748293809318728,0.49569899695053604161
nax_cn,5.4035246234064695514,69.304985160470494066,0,0,0,0,1.3786929955348294907,0.44736341167705040434
kx_cn,2.6265311535865394355,68.697900561431339383,1,1.6666666666666667407,0,0,1.7727158326889773665,0.54069573089352329642
mgx2_cn,9.1642255441546698336,74.542783493283479856,1,1.6666666666666667407,0,0,1.5557976431593021349,0.4360206942673010011
cax2_cn,30.111013941050597253,78.098559048147166095,0,0,0,0,1.309909726629787885,0.41049258470915145347
co2g_cn,9.8241118810484202584,70.098659339625726261,2,3.3333333333333334814,0,0,1.4483257269567395564,0.39432944375479039856
witherite_cn,40.231990300184634179,80.115656932382989908,2,3.3333333333333334814,0,0,1.5580464164709637576,0.51834969268644803808
strontianite_cn,58.507045917769836763,82.686742809043863645,2,3.3333333333333334814,0,0,1.3930596528727356986,0.58126495415901791031
gypsum_cn,20.878251078055619416,71.099541980682246844,1,1.6666666666666667407,0,0,1.148260441291191869,0.41942011053771649509
mix-ratio-sol-downstream_cn,4.7986587923276511347,64.425297740812567326,0,0,0,0,0.31253858002400636273,0.10609359945050400587
