group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
calcite_cn,9.1143534096765801422,49.787753915068236665,6,10,0,0,1.6208357565185012028,0.74587624200086211079
dolomite_cn,16.607387865765538493,71.128289776656586696,1,1.6666666666666667407,0,0,1.883372492632169104,0.6520503850192908013
mix-ratio-sol-upstream_cn,3.9842200995229690719,63.35321277302627152,0,0,0,0,0.34800822885080479052,0.12264729690452264022
chromite_cn,74.635987184759372326,87.313375466826514071,3,5,0,0,1.3543501665556771929,0.677421675138426993
illite_cn,19.694147750810820696,61.616153820730744428,0,0,0,0,1.2423036052616931446,0.3983853128023415735
halite_cn,51.70504595902887246,75.511920682141166594,7,11.666666666666666075,0,0,1.5635897823743762913,0.79282217721740733118
fluorapatite_cn,5.0113750291298995165,74.193585559494252379,0,0,0,0,1.6045674698033347561,0.39432045444612112695
mnoh3_cn,77.991680769983389609,84.30084332530746849,12,20,0,0,1.524902528364188381,1.087756109688441386
siderite_cn,16.659215041566621807,68.483928907160859012,0,0,0,0,1.2539076748751658563,0.47417652047472635957
feoh3_cn,21.4822569205985765,63.694580360778687123,5,8.3333333333333321491,0,0,1.3711856629919629835,0.63401556063405162256
goethite_cn,15.349312594065390059,66.854859315128649655,1,1.6666666666666667407,0,0,1.2362381416731940131,0.48405143988103360719
arsenopyrite_cn,16.118117548245550097,36.233257629551765433,20,33.333333333333328596,0,0,1.7914161840183560059,1.3618289307020761125
uraninite_cn,92.429272574452895128,92.747662347690024376,29,48.333333333333335702,0,0,1.6914296970076199145,1.6202959885267729234
muscovite_cn,66.717669527220877512,78.682151458931528509,1,1.6666666666666667407,0,0,1.4452675470827858195,0.92571626542892415657
kaolinite_cn,46.85269259450365098,78.283085995424315229,3,5,0,0,1.3702152052754210665,0.55989376006753177606
albite_cn,16.461270716894542687,77.19852622983499657,0,0,0,0,1.422758696699767178,0.38833479252640035195
quartz_cn,25.826303611873747457,69.729008102008606329,2,3.3333333333333334814,0,0,1.3868748293809318728,0.5659968259373264754
nax_cn,5.9728502115616057822,73.333787853583658034,0,0,0,0,1.3786929955348294907,0.39099898259630727626
kx_cn,14.761952931873945971,70.664355341298318081,3,5,0,0,1.7727158326889773665,0.61010034294960513446
mgx2_cn,11.270794195535644988,76.947061636837062792,0,0,0,0,1.5557976431593021349,0.4042153521845338604
cax2_cn,31.925416896709762682,85.411790294964447412,0,0,0,0,1.309909726629787885,0.2807103167675151778
co2g_cn,2.6433895513374823238,74.434312901686482178,0,0,0,0,1.4483257269567395564,0.36073869455854284949
witherite_cn,67.43789708115403414,83.48786546600904046,8,13.333333333333333925,0,0,1.5580464164709637576,0.79008017704167521345
strontianite_cn,81.916120891766723844,88.866808436750304168,3,5,0,0,1.3930596528727356986,0.85762572740298981255
gypsum_cn,17.311504034706718613,76.638323200456326845,0,0,0,0,1.148260441291191869,0.32441380143624282129
mix-ratio-sol-downstream_cn,7.808825732039212042,70.065946386799453194,0,0,0,0,0.31253858002400636273,0.086779041948620738722
