iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,base
0,60,68.7893,48.542,7.38892,244.789,57.1714,27.0384,175.41,51.1415,241.136,39.9831,67.7638,76.5699,71.6342,75.2038,28.9849,29.9912,53.3649,46.9391,31.9405,72.1451,66.5366,61.6434,58.9252,16.3108,36.8659,244.789,47.9047,70.8629,79.3247,53.0122,42.9471,34.868,26.1205,91.0333,38.8075,49.3054,81.9648,64.7729,44.4489,72.3698,51.5925,35.7385,51.6958,86.9834,80.5399,49.3778,94.4868,220.368,112.282,47.4192,7.38892,42.6206,67.1995,85.5045,147.22,65.6095,47.2811,39.07,91.995,74.6502,35.6329,104.469,51.2926,7.70811
1,168,27.2644,7.90765,6.20488,57.8055,31.1704,27.6811,28.4876,27.6201,38.8705,30.3687,32.1798,24.7463,36.456,57.8055,20.0199,24.9307,28.4285,24.0195,19.0836,32.963,25.832,23.4402,27.5441,21.7568,32.1027,29.2233,25.5017,28.275,22.9494,26.7731,33.2989,20.2026,21.3056,26.4909,25.1558,26.689,25.6248,29.4346,26.5832,38.3651,25.3938,27.6283,29.7096,24.2693,53.8559,22.0841,28.6599,31.2243,29.3403,23.0895,9.69311,23.4286,23.7301,30.3469,26.577,27.3223,28.2976,10.9911,25.9008,26.6668,18.7671,28.3281,32.9761,6.20488
2,276,17.5955,7.12768,6.58441,49.2121,20.4557,17.7856,20.2998,14.0949,18.8305,12.5096,15.6407,49.2121,17.986,16.112,13.6213,14.0465,22.2938,17.0566,11.0351,18.1444,12.9095,16.3106,20.0118,9.03499,21.044,14.7579,11.5696,14.6337,18.1168,15.8272,22.9118,13.6076,13.3871,13.6071,11.6111,13.9592,17.8943,15.5046,18.8726,21.684,17.6579,17.9434,13.9565,17.3185,41.474,22.7592,17.9014,18.5578,17.6765,13.4637,6.58441,18.1495,9.65883,21.8951,14.8326,17.0204,21.5626,41.9535,15.3527,15.5164,13.4019,13.904,18.7969,12.0146
3,384,11.156,4.75064,5.43919,38.4699,13.3059,11.0508,15.2361,9.90994,15.8057,7.55644,9.46698,9.76533,12.2816,8.91506,10.305,16.3821,17.976,8.8747,8.99273,11.6719,7.82139,10.006,12.4085,5.54332,11.6203,8.06583,5.43919,9.70951,12.8377,8.78763,12.4051,10.8906,9.85342,8.00138,9.65572,7.57107,13.7227,8.60043,8.97714,19.7339,10.8267,12.364,8.90742,12.2326,38.4699,6.95302,10.7314,11.52,10.5268,11.2198,8.65843,12.9869,5.55039,13.6962,10.2057,12.995,19.5946,7.48528,8.61055,8.80135,10.4978,7.48323,13.3046,6.59114
4,492,10.0872,4.38765,4.62396,34.4776,11.6293,10.0057,12.2929,9.04699,16.7265,7.25167,8.02966,8.96013,10.5643,7.96044,9.38248,14.14,15.8107,7.4266,7.15804,10.3498,7.18615,8.82097,12.3823,4.62396,10.2582,8.18538,6.25455,9.05931,12.625,7.5074,9.34738,9.221,8.98986,7.4212,8.79533,6.71435,12.9672,7.88419,8.92321,18.0652,9.4403,11.3267,7.38525,11.1144,34.4776,5.73142,9.38388,10.5116,9.22511,9.89377,8.55159,11.326,8.03932,12.9834,9.14435,11.8771,19.6845,6.60534,7.44848,6.87112,6.69188,6.70267,13.2791,5.57178
5,600,10.1722,4.91411,4.56372,31.8624,10.1319,8.97233,21.2575,7.56999,16.722,6.56962,13.6878,15.9598,7.89119,7.13391,7.92682,22.6092,10.1849,5.11317,8.70234,8.3181,6.88783,7.51066,12.8239,7.21833,8.99783,6.76199,4.56372,8.39729,12.9846,5.93919,16.5734,6.71749,8.21284,6.57437,8.04639,6.16501,12.3513,7.49458,9.46612,16.2941,8.18655,10.6989,8.86732,9.60087,31.8624,13.6652,7.75475,9.14956,8.04182,7.77221,8.05299,9.75501,5.30325,12.469,6.99651,10.7954,18.607,6.30005,5.55179,15.0223,12.0854,6.31398,13.7499,4.99901
