group,mean_change,std_change,num_at_near_lbound,percent_at_near_lbound,num_at_near_ubound,percent_at_near_ubound,initial_cv,current_cv
calcite_cn,5.8176227612647766207,53.730521877007888065,6,10,0,0,1.6208357565185012028,0.70872150233797026608
dolomite_cn,9.8002305996516305697,70.18409459139603257,0,0,0,0,1.883372492632169104,0.62255653714864789272
mix-ratio-sol-upstream_cn,5.1879801453551834811,67.432163200891778843,0,0,0,0,0.34800822885080479052,0.1077487673619920705
chromite_cn,72.128918772498323619,87.111193019317795461,3,5,0,0,1.3543501665556771929,0.62631075337566466388
illite_cn,18.442277328030122874,60.127174851946797673,0,0,0,0,1.2423036052616931446,0.41821345849513674731
halite_cn,48.020445248678036876,76.389003806102991234,5,8.3333333333333321491,0,0,1.5635897823743762913,0.71023910414543767189
fluorapatite_cn,1.4877504538551360458,74.473052077606126886,0,0,0,0,1.6045674698033347561,0.40359265090086676731
mnoh3_cn,73.818482631048595977,84.301420985908450234,8,13.333333333333333925,0,0,1.524902528364188381,0.91433977996638782226
siderite_cn,8.072474545718753447,69.882357034445888644,1,1.6666666666666667407,0,0,1.2539076748751658563,0.41080996662354485327
feoh3_cn,25.447881699973638803,69.173367391488000067,5,8.3333333333333321491,0,0,1.3711856629919629835,0.56697297990924089284
goethite_cn,15.671509379905840476,67.70537985409460191,1,1.6666666666666667407,0,0,1.2362381416731940131,0.47343241769944061081
arsenopyrite_cn,12.288874406759767055,39.730027108644257794,16,26.666666666666667851,0,0,1.7914161840183560059,1.2309567813395301261
uraninite_cn,89.64564751268879661,90.704186815257386911,29,48.333333333333335702,0,0,1.6914296970076199145,1.5185125769840994714
muscovite_cn,62.166256288581465128,77.179765196009270767,2,3.3333333333333334814,0,0,1.4452675470827858195,0.87174415068691313291
kaolinite_cn,41.466651731509273304,79.024496113323422719,3,5,0,0,1.3702152052754210665,0.4910184572391800284
albite_cn,20.565360207359866251,77.226507260584270398,0,0,0,0,1.422758696699767178,0.4078974227593187285
quartz_cn,26.727601438162153613,70.421160045680977646,3,5,0,0,1.3868748293809318728,0.55985813785407423371
nax_cn,8.3054509409172716516,74.04899977777685649,0,0,0,0,1.3786929955348294907,0.39019181184312545785
kx_cn,11.818784493297892269,70.192724147883126307,2,3.3333333333333334814,0,0,1.7727158326889773665,0.59921866044542548835
mgx2_cn,11.361764061562606543,77.344046541671175987,0,0,0,0,1.5557976431593021349,0.39766223482240731224
cax2_cn,32.377705986951319517,86.039653365229639803,0,0,0,0,1.309909726629787885,0.27042551736680831009
co2g_cn,5.6806150547777205517,73.963966356548766612,0,0,0,0,1.4483257269567395564,0.35681716400094753983
witherite_cn,58.628207163717263484,82.556342280388363974,6,10,0,0,1.5580464164709637576,0.65692169802107436283
strontianite_cn,77.878626014716061832,87.449967135817573194,5,8.3333333333333321491,0,0,1.3930596528727356986,0.79031910210232814151
gypsum_cn,16.144576927015268808,78.10031752315654785,0,0,0,0,1.148260441291191869,0.29987969940966852089
mix-ratio-sol-downstream_cn,6.3806698458409956132,68.765343192284433371,0,0,0,0,0.31253858002400636273,0.091765123310155960468
