realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,1.9157242610389983e-08,0.0025584472641115106,1.4498290372860012e-09,1.645296819806001e-06,0.0004520001516038999,7.680248266003995e-05,1.7037502673400014e-08,8.894818768117007e-05,9.402013782194999e-06,4.1970981216260044e-05,3.0068988631060003e-05,4.3567316738960036e-07,0.002765986106502001,1.307413263897999e-09,1.15565781981015e-08,0.00031548026136050006,0.00014054945695999996,5.970649600237e-06,3.495484290883007e-10,False,2
1,1.8688255799989988e-08,0.0025068973960785507,1.7140357720820012e-09,1.5231744683489985e-06,0.00048632498511160004,8.638814170963e-05,1.1498626167499999e-08,8.920798078967004e-05,9.899339496394992e-06,4.218035013432998e-05,3.246290392441001e-05,3.7306482484669997e-07,0.0027516050481109994,1.2435456810640023e-09,1.2103857342250364e-08,0.0003690474111427998,0.00013979019645109998,4.739863533863999e-06,2.709881680421002e-10,False,2
10,2.9364352576950017e-08,0.002593127632777159,1.1825638596339988e-09,4.3981603662499956e-07,0.00022296362055520012,7.145556786258993e-05,1.315760665383001e-08,8.912717013644003e-05,3.980451717178003e-06,4.2119232575670014e-05,1.4486783505229993e-05,2.3086857356120016e-07,0.0027443391690030014,1.7959428317280036e-09,5.981540174605582e-09,4.399185623564996e-05,0.0001400424667841,9.701198291314006e-06,2.371570783958e-10,False,2
11,1.707185444285999e-08,0.002860615637985571,2.0311274065890025e-09,1.5243717956910008e-06,0.0004876300283001001,8.250077201012e-05,5.963116080719007e-09,8.873315213130002e-05,1.045592713263001e-05,4.179772394245001e-05,3.255697113879002e-05,3.314322913037001e-07,0.0027914671285829994,1.4425510337599989e-09,1.379335518953333e-08,0.00037577003972799996,0.0001411734594448,3.073414484264998e-06,9.509376826303999e-11,False,2
12,2.0433362829019986e-08,0.0026228942950717806,1.1153285991760016e-09,1.628463289380001e-06,0.0003912640078804,6.873245290986001e-05,1.69622665667e-08,8.888609776065e-05,8.462266711713002e-06,4.1920808148369966e-05,2.583397672227e-05,3.5012341816089976e-07,0.0027637534451549995,1.4174065729389986e-09,1.0403095194536938e-08,0.00020300381206549994,0.00014073604520740005,9.33769768921101e-06,4.2400604065620016e-10,False,2
13,2.102136003018001e-08,0.0026029795384083995,1.3155680031280015e-09,1.2063079833320005e-06,0.0003758124117249999,6.71100624981e-05,1.5889172924139994e-08,8.906903068993991e-05,8.181338443931006e-06,4.206937417777001e-05,2.474320361580998e-05,3.7143928603819997e-07,0.0027452684384090013,1.4236251542099993e-09,9.98155668602938e-09,0.0001598181534598,0.00014020229126560004,4.811854201012995e-06,4.2400678238040086e-10,False,2
14,2.4115560666269983e-08,0.002566861559595129,1.1818310701889992e-09,4.951796953827003e-07,0.0003100601713891,9.745463989515004e-05,1.0400308307240007e-08,8.936508891822994e-05,5.436220054165001e-06,4.230944178429996e-05,2.0396302605320006e-05,2.329486551865999e-07,0.0027483429111099995,1.5240080634020026e-09,8.129279541083089e-09,0.00017044926793909998,0.00013934289047369994,5.215873341213003e-06,1.5015762852230001e-10,False,2
15,2.009518727038002e-08,0.0025713505128880693,1.3966468600939975e-09,1.4197300854369995e-06,0.00041199748702639983,7.689045331489004e-05,1.7906408728470006e-08,8.897042350103002e-05,8.753466819785e-06,4.198911829801998e-05,2.7253936048170007e-05,4.0870505773250014e-07,0.002764070505275,1.358374953713e-09,1.0706474196570976e-08,0.0002281369995195999,0.00014048723779349996,5.852036815027004e-06,3.1033490728470003e-10,False,2
16,1.9980609939160012e-08,0.00258993132470993,1.4716939245910027e-09,1.4734964969049998e-06,0.0004127643685594998,6.870623873784003e-05,1.4404053975330013e-08,8.894819232785e-05,8.789231714215998e-06,4.1971060999600006e-05,2.732000269301999e-05,3.611491864871e-07,0.0027579302926429993,1.3682480178339982e-09,1.0795883478030224e-08,0.00023684996672580005,0.00014055161977609995,4.637066022735996e-06,1.7843749100849984e-10,False,2
17,4.130166612615002e-08,0.002279205413627419,1.7540909718730004e-09,1.4191613351380007e-06,0.00015349532402410005,7.802862441643993e-05,1.2705380445149997e-08,8.895696725655001e-05,4.087630177322003e-06,4.198517793064003e-05,9.871119739847993e-06,4.066734392799997e-07,0.0027664275231380014,1.924488569069999e-09,3.6026400241773258e-09,5.506036066709998e-08,0.00014054665125499998,7.825499702923995e-06,8.403157822948006e-11,False,2
18,1.8671815980969983e-08,0.0027116367323438703,1.8337906872890033e-09,1.3578165373550014e-06,0.0004463963385299999,9.316955661201997e-05,1.1497608241979999e-08,8.915807835460009e-05,9.517123586085005e-06,4.213985770750004e-05,2.9713368662250008e-05,2.856337476493003e-07,0.002762999918073001,1.3998646399859974e-09,1.2078070362963355e-08,0.0003260503182186999,0.00013993569355400003,3.817662508944998e-06,4.143922768398002e-10,False,2
19,1.757365251112999e-08,0.0023831777999706607,1.6849357908930007e-09,8.308650323364992e-07,0.0005805459514952002,5.830637111525997e-05,1.3119452738550012e-08,8.954128244683009e-05,1.1228374745570002e-05,4.244896481211002e-05,3.909924213932999e-05,3.729783008435002e-07,0.0026927209897579995,1.104872172647002e-09,1.3492396141275884e-08,0.0005208813995770999,0.00013881303765039997,2.6662654337729973e-06,8.569186126736017e-11,False,2
2,1.7285518708170004e-08,0.0025058570388451894,1.0556310429919992e-09,1.01325411207e-06,0.0005572221511433003,9.028402010187995e-05,4.495001313362996e-09,8.859094396296996e-05,1.1037546737199997e-05,4.168244797584999e-05,3.7538942229039995e-05,3.7543446037379977e-07,0.0028123366741070015,1.1947439076880014e-09,1.3563038306632673e-08,0.0005336269954767001,0.00014158846818359996,4.183855386355999e-06,3.950747313089006e-10,False,2
20,1.9212619042059992e-08,0.00264113245892222,1.6890221438419996e-09,1.5656548200300003e-06,0.0004349775023927999,7.301433341392006e-05,1.3114070890400013e-08,8.899673534899002e-05,9.225807472744997e-06,4.201007613869003e-05,2.8907544429469995e-05,3.952248042267001e-07,0.0027577188982559992,1.3733845876319983e-09,1.1504668313412697e-08,0.0003010361621941,0.0001404080552587,6.525301554086004e-06,4.240058040658999e-10,False,2
21,2.058474565310998e-08,0.0025858238039343302,1.5594680521560001e-09,1.4464547411999992e-06,0.00039239094525000013,6.520057792327006e-05,1.519068394561001e-08,8.902631700449001e-05,8.442631393237991e-06,4.203429605513e-05,2.5889586285519996e-05,4.0766205354419963e-07,0.0027472472832679997,1.3906221881170023e-09,1.0311901957426946e-08,0.00018957739054960008,0.00014032522919560004,5.255325136053995e-06,2.3323182704579963e-10,False,2
22,2.128112825589e-08,0.00260127184348603,1.3847484763290012e-09,1.1464207759530006e-06,0.0003676900610581001,6.847592419518994e-05,1.2918234832399994e-08,8.901723035353996e-05,8.040488134277998e-06,4.202715656154e-05,2.4179415206660015e-05,4.275968742249998e-07,0.002751399050991999,1.4352454941029994e-09,9.779019731751838e-09,0.00014333243428190005,0.0001403535912891,4.4725575803430035e-06,1.8651269704869985e-10,False,2
23,1.9327748296170012e-08,0.00259755399488921,1.7750530532160012e-09,1.4416389870690003e-06,0.00043886101625390016,7.610322155618002e-05,1.1827210034229989e-08,8.911013430493008e-05,9.236801391131001e-06,4.210166872335e-05,2.9158335394519992e-05,3.7992967222499997e-07,0.0027503583494620006,1.3421048762629988e-09,1.1427226586495773e-08,0.0002954339498158,0.00014007671450189997,5.153242317561999e-06,1.8314494641390006e-10,False,2
24,2.826910859766002e-08,0.00257653690368107,2.1449674837970033e-09,1.7557396659820013e-06,0.0002345245121522,7.092338404949002e-05,1.0840496581429995e-08,8.875342915354004e-05,5.682796977321997e-06,4.181615575902998e-05,1.5210190578140004e-05,2.2761248122129992e-07,0.002778161092868999,1.7412752925130005e-09,6.280682634498567e-09,6.133159328183003e-06,0.0001411308237277,2.3994476453969978e-06,3.637063335611004e-10,False,2
