realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,1.8261880212139987e-08,0.0025219320324368607,1.4414273975150025e-09,2.706790250197001e-06,0.0004999725965904001,8.381689996195007e-05,2.3079863830959996e-08,8.86784515822099e-05,1.0132911377329997e-05,4.1753074979229976e-05,3.346364187966002e-05,5.556551764459001e-07,0.0027978396825439986,1.246578754973998e-09,1.2424598423431226e-08,0.0004183937942990001,0.00014133476769939997,8.330099032080994e-06,4.2400320490030084e-10,False,1
1,1.9968747365309998e-08,0.0021311390374354508,1.598487984828997e-09,1.6150986727159985e-06,0.0005340571396845999,0.00011881388127020005,1.4636887495649987e-08,8.948903694047007e-05,7.503905527523992e-06,4.240775735959998e-05,3.6082164976780004e-05,4.456475853897004e-07,0.002758015428799,1.0110530960790019e-09,1.1056319303246079e-08,0.0005818656604581998,0.00013896780772429995,6.174295868811002e-06,4.1873333414349954e-10,False,1
10,3.9989772505520026e-08,0.0024864556053247494,1.320835763993e-09,6.498078754682997e-07,0.00014813647789509992,7.316251325070003e-05,1.6564836340830004e-08,8.912884951309998e-05,4.0904517019320014e-06,4.2124087670660017e-05,9.51823032558499e-06,2.3088209969969986e-07,0.0027459054706660013,2.1455833015450027e-09,3.78607681063085e-09,1.0219492300590003e-07,0.00014004879616899996,1.2189205187640004e-05,3.5062191949070045e-10,False,1
11,1.716948495561001e-08,0.0027400365421993106,1.7440689059380027e-09,1.8886893542909981e-06,0.0005083397732266,8.828743526383995e-05,1.533735043267001e-08,8.85928450211199e-05,1.0610185213450005e-05,4.1684619941239975e-05,3.407393518431997e-05,4.7163369486030013e-07,0.002810132471773001,1.3603145605830015e-09,1.3661391927998032e-08,0.00044521428347859995,0.00014158142240899998,6.318292948232004e-06,3.5787394261849984e-10,False,1
12,1.9778646464230013e-08,0.00264472892741487,1.2570876475520023e-09,2.198647578658999e-06,0.0004113839488123001,7.416822357131001e-05,2.0713544119099995e-08,8.881686969028002e-05,8.825579832568997e-06,4.1864639477789966e-05,2.7257897717970023e-05,4.3488348073319957e-07,0.0027755497801529986,1.4069661436060012e-09,1.0944309717141154e-08,0.0002573823106290001,0.00014093687325740005,1.3636660773699987e-05,4.2400543011160024e-10,False,1
13,1.982854950789002e-08,0.002598469893702041,1.508252902810999e-09,1.7608295907690002e-06,0.00041798997593769986,7.456515272290007e-05,2.103115093624001e-08,8.900650602666002e-05,8.886224967464993e-06,4.2018800408749984e-05,2.7691843282059992e-05,4.927213732225995e-07,0.0027584260170700004,1.3677424180650003e-09,1.094428917906942e-08,0.0002517878671618,0.00014038154559979998,7.130217604980003e-06,4.2400569993470023e-10,False,1
14,4.9749457722500014e-08,0.002275617904606209,1.2738775474889981e-09,8.043322317697005e-07,0.00012104092030879996,0.00010687077896200006,1.3626664508969999e-08,8.931198029865997e-05,1.1031435037699996e-06,4.2274936556789995e-05,7.765672915958999e-06,3.1574065620970026e-07,0.002762670725916,2.1981775907459955e-09,2.7796419869395435e-09,6.032766083814e-05,0.00013952442158300006,7.215940196672003e-06,2.7171161328430033e-10,False,1
15,2.171049099949999e-08,0.0025952611100949997,1.4128652803540018e-09,2.7166853432020005e-06,0.000355012793371,8.477308391347004e-05,3.562155204935003e-08,8.874040051640008e-05,7.810965481148005e-06,4.1803613217659986e-05,2.330310861796002e-05,5.291536210061999e-07,0.002793227895107,1.4569466495440024e-09,9.428125777703615e-09,0.00012096312789669999,0.00014116341191649996,1.0277470856729993e-05,4.2400557371719973e-10,False,1
16,1.9318315926240016e-08,0.0025923070977255493,1.514601018417001e-09,2.0425061122940014e-06,0.0004382324388352,8.126119712626993e-05,2.3010097318400016e-08,8.882110478354994e-05,9.213713711173003e-06,4.186839352620001e-05,2.9119005792990016e-05,4.989170070123004e-07,0.002782158302088,1.3436932444290024e-09,1.1369985591192e-08,0.0002989751635632999,0.00014092064385810005,8.050682893410994e-06,3.5946171953619934e-10,False,1
17,2.2539229342029996e-08,0.0025863375188984405,1.6763463776839978e-09,1.9250777382209984e-06,0.0003352638777077999,8.915306767305999e-05,2.0232675424510012e-08,8.888892574891005e-05,7.463235064792994e-06,4.192420460599004e-05,2.194489112410998e-05,5.434101536364999e-07,0.0027837990330730014,1.4841402783970007e-09,8.919240598399196e-09,8.385670006694008e-05,0.00014072601894859997,1.0435471350780004e-05,1.8820620374280038e-10,False,1
18,1.7536399962170017e-08,0.00264300669697554,1.7251813028500024e-09,1.8570906279719993e-06,0.0005150591210490003,9.599688000277991e-05,1.976693052125e-08,8.903777175748e-05,1.0572540291480009e-05,4.204269501004004e-05,3.4550773796580007e-05,4.3865545118809976e-07,0.002776833262573999,1.2977896374889991e-09,1.335101613005133e-08,0.00045645750874479993,0.00014028295299650003,6.997766349032999e-06,4.240038954187999e-10,False,1
19,1.9354145725829988e-07,0.0012305516560038997,2.000307393434002e-09,8.775694075662997e-07,4.7952640849359965e-05,5.954807467491997e-05,1.3958597465970005e-08,8.978451626950003e-05,6.278005829132001e-08,4.2703707467539976e-05,2.9829374244159974e-06,3.961354368280999e-07,0.002671485109133999,2.1376849019510042e-09,4.884280165202632e-10,0.0003517644583029001,0.00013827720613010004,3.831046075878996e-06,1.2590408562469993e-10,False,1
2,1.5982902018169992e-08,0.0024947811907622373,1.1285465442949983e-09,1.8893301570100004e-06,0.0006525099878097004,9.185999736300002e-05,1.4599906031409997e-08,8.872559744438008e-05,1.2552157207029996e-05,4.1790910286109956e-05,4.433680289017001e-05,5.260708832565004e-07,0.002801371588720001,1.1322096369999996e-09,1.5480032268531302e-08,0.0007009162328554003,0.00014118942942919994,7.117489510692006e-06,4.2400053299310064e-10,False,1
20,9.682043102708994e-09,0.0038567489948672065,1.665883292909999e-09,1.804978122517999e-06,0.0009879222534051998,7.342898844022003e-05,1.392402487941999e-08,8.881200241787e-05,2.2351700436749986e-05,4.185746501407002e-05,6.610415873588006e-05,4.6735053363760023e-07,0.002775228516291,1.6786262684439998e-09,3.591071173360334e-08,0.0004462659692715,0.00014094160877780004,1.2304441037390004e-05,4.239826787669e-10,False,1
21,1.7809687541130007e-08,0.0025164872499442584,1.6044299686129975e-09,2.0957737757389996e-06,0.0005277112812043998,7.381312822330003e-05,2.308181491984001e-08,8.892033767178002e-05,1.0580442170030002e-05,4.1948300151539974e-05,3.543328536921001e-05,6.017471573609005e-07,0.0027654784664060002,1.219395199704998e-09,1.3007963429135974e-08,0.0004723519208405002,0.00014062657697070004,8.674374079353999e-06,4.2400363697820036e-10,False,1
