realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,1.9375440540769982e-08,0.00253303227203564,1.2338685489389987e-09,1.1138929082650001e-06,0.0004470521656084,7.011501569155995e-05,1.2931915003320007e-08,8.898480501129005e-05,9.290159729778003e-06,4.200057233747004e-05,2.9699606598089987e-05,3.580962420962998e-07,0.0027559471015630005,1.2960182626730024e-09,1.135561868575137e-08,0.0002922048986587001,0.00014044354028450002,3.4184483744410036e-06,2.1378684463120018e-10,False,4
1,1.9115702724639983e-08,0.0025712356282515296,1.7786255790760019e-09,1.2505580814240008e-06,0.0004521655146311001,7.114858809027993e-05,7.558713384399985e-09,8.908908004722e-05,9.425449388553005e-06,4.208454901882999e-05,3.008383549063997e-05,2.990540641408998e-07,0.002747340444112001,1.3122022992550006e-09,1.1627055978903617e-08,0.00031618031789350004,0.00014013783983299994,2.8237052128180026e-06,1.2634142092889973e-10,False,4
10,2.1912568277070016e-08,0.002727013280616661,1.0947459034780013e-09,4.377091504067001e-07,0.0003337505521937001,7.009557176589006e-05,9.472931508321994e-09,8.908180970868992e-05,7.583537376308001e-06,4.208008932409998e-05,2.1884723400390018e-05,2.3047373464600002e-07,0.0027471466153259987,1.5723540751300006e-09,9.344202726925023e-09,0.00011049753678759995,0.00014016721032609995,5.999858645787997e-06,1.4947783498839968e-10,False,4
11,1.5642156854210002e-08,0.0030108304468952104,2.314812143834002e-09,1.2352546904800009e-06,0.0005365981488379999,8.024710546097008e-05,4.4085926012360055e-09,8.899966127833003e-05,1.1605672356790001e-05,4.201226124860997e-05,3.580993587068003e-05,2.36718083731e-07,0.0027646838734730005,1.4716528801680029e-09,1.5945247519195377e-08,0.0003636155192307002,0.00014039511539860005,1.6135907676689984e-06,8.403182253336001e-11,False,4
12,1.9547401797550002e-08,0.002526901862400911,1.0825866295840015e-09,9.966769014527002e-07,0.0004402330565023,6.069182469019002e-05,1.4083908407250003e-08,8.892891321738995e-05,9.169925860285996e-06,4.195537270009e-05,2.9215017772709994e-05,2.996055878455001e-07,0.002751719393795999,1.299478982410999e-09,1.1180962651147427e-08,0.0002750448637785998,0.00014060835668420002,4.295264383159003e-06,4.078857501282007e-10,False,4
13,1.9467651331599993e-08,0.002519306327748841,1.0948919157889982e-09,7.074876920533003e-07,0.0004461196394293998,6.066691904596997e-05,1.2859031561099988e-08,8.908267790295993e-05,9.25999225281901e-06,4.207973837660001e-05,2.9622095185009975e-05,3.0699790178469994e-07,0.0027375057755259988,1.2872186251219982e-09,1.129131395674802e-08,0.0002824523038786,0.0001401586683805,2.616655601904001e-06,1.2111145572630012e-10,False,4
14,3.5567733179650006e-08,0.0021201885096462703,1.1268801161900016e-09,4.564270176559e-07,0.00021341751040620003,8.429676016771006e-05,8.924648038338992e-09,8.948264322996001e-05,1.7710213457009995e-06,4.2408329096990014e-05,1.4083615367049989e-05,2.339787815985e-07,0.002724258104634,1.506673436366003e-09,4.55904448763697e-09,0.0002919801051453,0.00013900755087470004,3.5542202202669974e-06,8.403112657630004e-11,False,4
15,2.0093170443179997e-08,0.002518672115040729,1.0945455908070019e-09,8.333878088791997e-07,0.0004202305328893998,7.096806059596e-05,1.5639727928699995e-08,8.895430044062002e-05,8.829579234850002e-06,4.197611407568003e-05,2.7795608051940017e-05,3.389699299335997e-07,0.0027596486248160005,1.316055762846001e-09,1.0705509095761448e-08,0.00022392726427169997,0.00014053466371910005,3.373328212714001e-06,1.7215305920220033e-10,False,4
16,1.995594684679001e-08,0.0025625809363085507,1.2281176611449995e-09,1.182897044791001e-06,0.0004169562543653999,5.287975117860002e-05,1.0829624452690002e-08,8.887326306770006e-05,8.828386497664996e-06,4.1910506481439976e-05,2.7599531300700017e-05,2.830978365992002e-07,0.0027490152568579993,1.3460029667710021e-09,1.079745548604216e-08,0.00023633543930290008,0.00014077020551719993,1.887063900199999e-06,8.403075021389011e-11,False,4
17,2.0108736244649982e-08,0.002562054032884199,1.7677643346620006e-09,9.635413078109e-07,0.0004123923047730999,6.109409293197996e-05,9.900929211377008e-09,8.896374278031995e-05,8.751261956849993e-06,4.198385193275998e-05,2.7276686343339985e-05,3.5392645425010024e-07,0.0027487874298929996,1.3510317364940023e-09,1.069012505932663e-08,0.00022503389067760006,0.00014050268889409995,3.9036190461439965e-06,8.403079613702012e-11,False,4
18,1.8086528120600002e-08,0.0027293739121018214,1.9705461993679997e-09,9.226829698001008e-07,0.0004694217499649999,9.574258243364998e-05,5.875971717867006e-09,8.921115678276008e-05,9.940298379889e-06,4.218251514566003e-05,3.131851757476001e-05,2.316139595769001e-07,0.0027606620625079997,1.384057739420999e-09,1.2723396050080953e-08,0.00036236657512809996,0.00013977925597249996,1.2704950113350004e-06,1.3194862445329986e-10,False,4
19,4.799699209697998e-08,0.0012707447190927197,1.2867929730490002e-09,4.710851254886e-07,0.00024246741561230004,5.3498295274110015e-05,1.0172106549049991e-08,8.979489829939993e-05,6.749128916574996e-07,4.2664329115749956e-05,1.637790768399e-05,3.316767295924997e-07,0.0026643530240989997,8.526704032994003e-10,2.9966822518656665e-09,0.0006484449974235003,0.00013809624146660004,1.2348297266319989e-06,8.402939136705987e-11,False,4
2,1.8315162417380005e-08,0.002416762290441041,1.038501026443999e-09,4.049567426357002e-07,0.0005156681131661999,7.895416580981005e-05,6.22921508329801e-09,8.837744682754992e-05,1.0225389053220007e-05,4.151030602791996e-05,3.449652935564001e-05,3.3074396581279994e-07,0.0028207869604930007,1.1752277915640018e-09,1.229280771240961e-08,0.0004075160721398001,0.00014221622429010002,2.1417734136630006e-06,2.1389488040109977e-10,False,4
20,1.9364473410450007e-08,0.0025865664167669293,1.7256880054370005e-09,1.2245766031329992e-06,0.00043837942599110017,6.761152094029001e-05,1.040572872293001e-08,8.905152146694006e-05,9.215559611647992e-06,4.2054342776369965e-05,2.9119756239110027e-05,3.219355160623999e-07,0.0027472775606050006,1.335824287242e-09,1.1376220362646126e-08,0.00029119437185369995,0.00014024809239399994,3.3299154157989996e-06,1.4170551667279978e-10,False,4
21,5.108208699199e-08,0.0019390288130522293,1.3004033615470007e-09,1.0314224225039999e-06,0.00013611940370919997,5.222611336650005e-05,1.4007462189670009e-08,8.902481008671999e-05,9.037099388978994e-07,4.2043243156790036e-05,8.803736455438998e-06,3.359261041852998e-07,0.0027343737532620014,1.7476887683130002e-09,2.6652351154263715e-09,0.00012734413192490003,0.0001403584413102,2.827878798956002e-06,8.403090461830993e-11,False,4
22,4.841548589960999e-08,0.0020082287918928303,1.1365795695250008e-09,4.853406807640997e-07,0.0001424482984954,5.705405582273996e-05,9.833599375184e-09,8.910648054259999e-05,9.751142554440004e-07,4.210843432849002e-05,9.247992039982008e-06,3.4163766659489986e-07,0.0027316999347849987,1.7690679647860031e-09,2.8829387142615198e-09,0.00016623242811129998,0.00014011774868619994,2.141431050598e-06,8.403094153608005e-11,False,4
23,1.9360346290480004e-08,0.0026061420244570402,1.900146983895999e-09,1.0566254378239994e-06,0.0004369189909271999,7.166045101764996e-05,7.169175212069008e-09,8.926770702913006e-05,9.219093067288994e-06,4.222879845810999e-05,2.9020833175009982e-05,2.860724691208001e-07,0.002731400908911,1.3467686233049988e-09,1.143120679207946e-08,0.00028954974161879996,0.00013961680973520002,2.8761763496669992e-06,8.403118673284018e-11,False,4
24,2.138657324810002e-08,0.0027226856003681786,2.454045224346001e-09,1.3435431031769995e-06,0.00034609074483909997,6.687796241335001e-05,6.692209826547003e-09,8.876050530498997e-05,7.794418557272007e-06,4.181972739569999e-05,2.2735015200200007e-05,2.276768295284998e-07,0.0027734170985749995,1.5491590838869975e-09,9.641123778530883e-09,0.00013456524170349994,0.000141101399607,1.0648238171619991e-06,1.0513700632600001e-10,False,4
25,1.9676880532150004e-08,0.0025195143980408902,1.088141508540002e-09,7.502299290022998e-07,0.00043676488747970005,6.962017848629005e-05,1.214663879015001e-08,8.899835174574994e-05,9.104737524004008e-06,4.201157635377002e-05,2.8960842997840025e-05,3.3309908579500014e-07,0.002754244296796999,1.2979602985850013e-09,1.108011306173099e-08,0.0002614283862897999,0.00014040590541269997,2.050101467271002e-06,1.0316595208740021e-10,False,4
26,2.5300344709649976e-08,0.0020130669646707807,1.079504598616e-09,7.003136872332005e-07,0.00037363502000909994,5.4990426797079985e-05,2.1412704456900017e-08,8.888940167088008e-05,4.165120373513e-06,4.192588514291002e-05,2.492007202821999e-05,3.999441264150997e-07,0.0027495230017099987,1.0925028269320017e-09,7.531072369523999e-09,0.0003706657513709999,0.00014072453586379998,2.9916779415980006e-06,1.1551320069349996e-10,False,4
27,1.8040564407390004e-08,0.002475104959822951,1.120996982678002e-09,1.4659005893270004e-06,0.0005281809519809,6.122910115807005e-05,1.0523610695719993e-08,8.940864453815998e-05,1.0537795267370006e-05,4.234238059126e-05,3.542195972516e-05,3.1125004402109973e-07,0.002707954613006999,1.1896170722730006e-09,1.287156310588184e-08,0.0004456627624311999,0.0001392031655821,1.2861322222170004e-06,8.402998064405008e-11,False,4
28,2.050003688612001e-08,0.002502316702462951,1.7847479506510032e-09,9.363623969708995e-07,0.0004028969171517998,6.142805949525994e-05,1.00219486902e-08,8.836924779923e-05,8.518663175178993e-06,4.1503862280950004e-05,2.6574230692720023e-05,4.3322461740040034e-07,0.0028039226221260004,1.3312799181570017e-09,1.024046532517764e-08,0.00018328572666720006,0.00014224080664510002,1.4733150558170008e-06,8.40303123476599e-11,False,4
29,2.0726532510810006e-08,0.0025537382733693387,1.0900767960370015e-09,1.0208893207420005e-06,0.0003913042796221001,5.931909885955002e-05,9.563550130392996e-09,8.892547720702001e-05,8.388836175402007e-06,4.195290676235001e-05,2.579529549056002e-05,4.0245637036589963e-07,0.0027506815983660005,1.372204712735e-09,1.0177125933500424e-08,0.0001752734946597,0.0001406202843932,1.932224117375001e-06,8.403133300370989e-11,False,4
3,2.0825572732279994e-08,0.0025704029511581803,1.0735979895970018e-09,4.253958583948e-07,0.0003847181479099,6.536650010277996e-05,2.5388064327159993e-08,8.881649768663996e-05,8.295323271608002e-06,4.1864963795100014e-05,2.534667477834998e-05,2.8622353586729974e-07,0.0027667510925910013,1.3922754078829992e-09,1.0076716371857463e-08,0.00016834175594469995,0.00014093748606460002,1.5138266900000011e-06,8.403054246158e-11,False,4
30,1.6718531127619998e-08,0.002366159368440001,1.08120231214e-09,4.2983035206589984e-07,0.0006363968241935998,5.552410308905998e-05,1.1767839106800004e-08,8.890965346681003e-05,1.206335214815999e-05,4.193982990517999e-05,4.3133878138580035e-05,2.6603134668590004e-07,0.0027480513789849993,1.0705191710220017e-09,1.4447735232744239e-08,0.0006452131135784999,0.000140652766403,1.2728814964289997e-06,8.402908291731013e-11,False,4
31,1.9094430589739996e-08,0.0025357535015445693,1.2172912496179977e-09,9.911219125730993e-07,0.0004590359594662,6.154199230763995e-05,9.50200670811001e-09,8.904831001762006e-05,9.493219682835996e-06,4.205173249991997e-05,3.0549650545499985e-05,2.9180632315300027e-07,0.002741509029602001,1.284502653842001e-09,1.1638939903812503e-08,0.0003195148999477,0.00014025718489380003,1.7860300822950017e-06,8.40308739237299e-11,False,4
32,2.3649069937069986e-08,0.0027092457193334,1.4429384879749976e-09,4.886480094536e-07,0.0002955975765234001,8.985910849836998e-05,4.361084820290002e-09,8.895611308548002e-05,6.886914650042001e-06,4.197845259729e-05,1.9285454170690015e-05,2.2938035286160013e-07,0.0027784359766969986,1.6457598201039978e-09,8.278705268455103e-09,5.1529500235260035e-05,0.00014053538385639996,3.2417393415789984e-06,2.9822234203859997e-10,False,4
33,1.8743805085860017e-08,0.002493390991175439,1.1579297970019998e-09,1.1908903360659991e-06,0.00048364047882010013,6.512648442311005e-05,8.741892484531003e-09,8.902858038497999e-05,9.838107387071e-06,4.203565639891e-05,3.2266542091269984e-05,2.866049426630003e-07,0.0027468921925829994,1.238092002503002e-09,1.1993745456497812e-08,0.0003591569609868998,0.00014031395518720002,1.5097588686849994e-06,8.777645621730001e-11,False,4
34,5.199117284683999e-08,0.0011930943424173007,1.8465545382170004e-09,4.733095117790004e-07,0.00023030417401619988,9.351666256788005e-05,1.0728338817049993e-08,8.984228056583005e-05,5.707186230929999e-07,4.270404904840003e-05,1.550566167661001e-05,2.450890548520999e-07,0.002699968212838999,8.216555011994995e-10,2.676630168446839e-09,0.0006045268263734004,0.00013796237731060007,2.147745246105001e-06,8.759849626901002e-11,False,4
35,1.7925468018549992e-08,0.002438085963731729,2.031537912860997e-09,1.3846586015029988e-06,0.0005376924884699003,6.767415217494004e-05,1.191108467086001e-08,8.882289001619009e-05,1.0622896053229994e-05,4.1869516774390026e-05,3.6092319173150006e-05,6.839515658120004e-07,0.0027682788660110015,1.168862390689002e-09,1.2852519877132023e-08,0.0004654709846891001,0.00014090927945419992,5.274755264694997e-06,8.402968430789996e-11,False,4
36,1.998201260711e-08,0.0025902488837855706,1.260964836494e-09,8.408112467848999e-07,0.0004123574148123998,6.006000227340005e-05,1.331092174053001e-08,8.897001004219998e-05,8.784939499977004e-06,4.198879316323996e-05,2.7290994448950024e-05,2.298422443489001e-07,0.0027472807412350013,1.3674728350639975e-09,1.0796061875057362e-08,0.00023480467063940005,0.00014048822551849995,2.4167537573649977e-06,2.347420923364003e-10,False,4
37,1.8364193375719986e-08,0.002539337533035879,1.7824107224930032e-09,7.018495445443001e-07,0.0004960477674550003,6.510774934327e-05,1.4582710741989985e-08,8.935331558286001e-05,1.0110303646930008e-05,4.229909299653997e-05,3.317064228398e-05,3.360563966687998e-07,0.0027169400069549997,1.2508183446999994e-09,1.2479138679168426e-08,0.00039674896061799996,0.0001393646861824,1.1621141922779993e-06,2.363835194095004e-10,False,4
38,3.3274134516190025e-08,0.00208652480909498,1.1113310256869982e-09,1.216867128088999e-06,0.00023607020590110005,7.248356966275997e-05,8.969922990824005e-09,8.928793569847e-05,2.2367788551019984e-06,4.224978236924998e-05,1.554148770071999e-05,3.032193472871002e-07,0.0027303571353940004,1.4008168803209975e-09,5.007173038658895e-09,0.0002304929168301,0.0001395716873981,3.0753419851010004e-06,8.403132177052003e-11,False,4
39,2.169786120576001e-08,0.002589900267353211,2.0399534880659965e-09,9.071657051429006e-07,0.0003603946351143999,6.302094856026003e-05,6.073769499252e-09,8.944439352872995e-05,7.769306366318997e-06,4.237197851311003e-05,2.3683372359100012e-05,2.3364288415239983e-07,0.002706558179119,1.434718693615001e-09,9.572141433111307e-09,0.00013297368476330003,0.00013910631845049992,3.837603609889003e-06,2.1455070384060004e-10,False,4
