realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,6.603505895877996e-08,2.191254888959848e-06,1.0695944091150018e-09,5.550948625716997e-06,0.0036938280876659983,5.0055088619700026e-05,3.0280552105220026e-09,8.771312740807002e-05,1.0872696977930002e-07,4.098711277152e-05,1.802186740332999e-05,2.1848564778510002e-07,0.0028542214414729998,8.82158141536099e-12,1.2422336173380713e-12,8.472807213532982e-14,0.00014424183798769999,8.918164721029993e-07,8.403953215881991e-11,False,0
1,2.941986164191998e-08,0.0010550897492349102,1.1925043623060012e-09,4.946555569901004e-07,0.0006691721916805998,0.0001951507747608999,5.798035619462994e-09,9.029904867715e-05,1.7394142404659998e-06,4.306550603820996e-05,4.6989903371479964e-05,4.4204598781469976e-07,0.0027592763838330007,4.5313882777450004e-10,6.364593238534937e-09,0.0013785234894720007,0.00013659927766720005,1.3178051633959994e-06,8.402780496138011e-11,False,0
10,4.119831581346999e-08,0.0026169943826989134,1.3705729823679972e-09,4.4981260746220005e-07,0.00013200316340579993,5.703346610518003e-05,1.3338400867139993e-08,8.952112937634008e-05,5.153891326359996e-12,4.229764831979e-05,1.8897426394219997e-05,2.3274229613109978e-07,0.0027101473120710005,5.383548187221003e-07,2.504879514233697e-07,0.00016296685502460004,0.0001394274738363,2.0136888550779997e-05,8.403145067060989e-11,False,0
11,2.699545516676001e-07,0.005773206077601933,9.257488449700008e-10,2.128826290094999e-06,0.0013753792025310006,8.768708413954994e-05,2.2417441214779975e-09,8.699134609970004e-05,0.00024089996177849993,4.046149306751004e-05,1.7626311556419996e-05,2.1204231879989993e-07,0.0029597645024439997,5.660712593186995e-08,4.777105073608139e-07,2.2046571466999986e-09,0.00014659712152229997,7.708736936775996e-07,8.403879309052987e-11,False,0
12,6.450148553868004e-08,1.2784910493911411e-05,1.1684834715570007e-09,2.3577344068190008e-06,0.0004459295454233998,5.1594424451730044e-05,4.0250763005919974e-09,8.864400447431002e-05,2.563567458518e-08,4.1738386288399995e-05,2.8096893731719982e-05,2.2663746556620017e-07,0.0027693609345170005,3.2151901144969986e-11,3.2204779706119673e-12,4.211165271105008e-13,0.00014150290127569996,2.7624519596109982e-05,4.239968549125005e-10,False,0
13,3.5533040066179985e-08,0.002480568849619849,1.7467955639049984e-09,2.1151946105270004e-06,0.00018052365281189998,5.230891337303e-05,1.1822464075880011e-08,8.907626808606994e-05,3.506199402047e-12,4.208159584526997e-05,1.1837827145099997e-05,2.304212232165e-07,0.002729925174152999,1.9299394964620024e-09,4.51414085649489e-09,0.000239625740242,0.00014019929417199997,1.1163310371169992e-06,1.5367477197160015e-09,False,0
14,4.475067621572997e-08,0.00248041120362408,1.1239233198150007e-09,4.5470147313449995e-07,0.00012315624011980002,0.0001342322816034,4.883355059213008e-09,8.944723946476003e-05,3.5721262005000055e-12,4.2382481350190015e-05,8.999768076502002e-06,2.3365794087759994e-07,0.0027776669342069998,2.5419990681749955e-09,3.2485865147924076e-09,0.00016442563908670004,0.00013912910854300004,6.359311337358004e-06,8.403236920519987e-11,False,0
15,4.5685740122120024e-07,0.0027467395124675387,9.782060371808008e-10,1.0124854138900006e-05,0.00016322673369330008,6.383777384561995e-05,7.159137843897996e-08,8.789742017311e-05,7.397452210456003e-12,4.104794387665997e-05,1.7977533231609994e-05,6.016541740427995e-07,0.002875294858675001,8.158398149141996e-07,5.48701988715675e-07,0.0002025242341012,0.00014486514460640003,2.560774741966998e-05,8.403287061661993e-11,False,0
16,6.510769321454007e-08,0.003625834348939678,1.0063002275579994e-09,8.666622982237995e-07,0.00010637388180370005,0.00015690170935989996,6.421507320376993e-08,8.822803302453997e-05,0.00032714727505200013,4.1201408503779964e-05,0.0002465386827872,2.6120538454040017e-07,0.002935997921042001,7.522975605140007e-07,6.738271643909532e-07,0.0001286762851631,0.00014344325329750004,1.7044748304100008e-05,4.2391930009759925e-10,False,0
17,7.002656465868014e-09,0.0059205596962662865,1.0570478414119992e-09,3.9236160605249985e-07,0.001548145309164,0.00022952102463600003,3.4559171447060008e-09,8.811795291193006e-05,4.3632445923529986e-05,4.129212780693004e-05,0.00010089198706479999,2.2199575711460008e-07,0.0029967908554600006,2.8180518593740015e-09,8.414044394654388e-08,4.781501574480991e-10,0.00014301768672220005,3.333695621202002e-05,8.404653262283009e-11,False,0
