realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,1.964586735612998e-08,0.0025283479304913097,1.1728354018879982e-09,9.867186489641993e-07,0.0004369182526724,6.915425576674998e-05,1.200612744140999e-08,8.903651856659001e-05,9.118207876745993e-06,4.204234538069998e-05,2.897832137390998e-05,3.5051390475179977e-07,0.0027502372789109998,1.302940482749002e-09,1.1117310895267059e-08,0.0002656449237562,0.0001402935043801,2.955032577768999e-06,1.9317269980680033e-10,False,5
1,1.9474953560739982e-08,0.0025938738019126903,1.8148755393150006e-09,1.1307073359150002e-06,0.00043310649595389985,6.907649547042994e-05,6.460309712638005e-09,8.912616793652992e-05,9.138029997538009e-06,4.211453985051003e-05,2.8749444537380016e-05,2.7794188761359996e-07,0.0027418660893920002,1.344906622429998e-09,1.1289586878437982e-08,0.0002799860344334,0.00014003051009860002,2.5627151515019984e-06,1.1241804480949985e-10,False,5
10,2.666619273047002e-08,0.0025605327053139595,1.0974188907859983e-09,4.392660965596997e-07,0.0002625729391326,7.077795892595006e-05,8.468184362566995e-09,8.911513477511e-05,4.515961695196001e-06,4.210856648983004e-05,1.716502096961001e-05,2.307652039187e-07,0.0027447416857230007,1.6380986936479981e-09,6.924307936977065e-09,0.00010143203076730002,0.00014007422089960006,4.7988536424100005e-06,1.393103112597002e-10,False,5
11,7.490369876020987e-09,0.005025565438802409,2.4741768559709996e-09,1.1028880945920003e-06,0.001345042756632,8.109011030892e-05,4.651497260010993e-09,8.923102894971007e-05,3.471217543730001e-05,4.219487772945999e-05,8.839596399675995e-05,2.3176354323300023e-07,0.0027446352025000003,2.250243736010001e-09,6.322731984860863e-08,0.00013587087453969995,0.00013972744175780004,1.542717914984e-06,8.40353288950599e-11,False,5
12,2.7995483625039997e-08,0.002150038397804001,1.0868523131100006e-09,7.869664167543994e-07,0.0002962929069043001,5.7660257377560034e-05,1.3258497467849991e-08,8.898191396476e-05,3.3575090612200018e-06,4.200114393723003e-05,1.9612986032339994e-05,2.8959954903069997e-07,0.0027437531903219997,1.2967995764130007e-09,6.449834711865244e-09,0.0002758538788258,0.00014046026044309994,3.038831404838002e-06,2.7868462432379974e-10,False,5
13,3.3278668710020004e-08,0.0020165364367099098,1.1041238136320017e-09,5.219633524800001e-07,0.00024543282273839994,5.710517182564005e-05,1.2542224058549997e-08,8.919769679414995e-05,2.1200171431289985e-06,4.2177344240600014e-05,1.6227799048460003e-05,2.8501877299270005e-07,0.002723280282476,1.3302110815279986e-09,5.0029581361979795e-09,0.0002903427555498,0.00013983443159909997,2.2957304246929997e-06,8.841989623837984e-11,False,5
14,5.895922972804999e-08,0.0017868979956976192,1.1361355256639996e-09,4.618179279286999e-07,0.00011607729730069995,7.955251050666007e-05,8.999312808059014e-09,8.959804744749998e-05,4.5919506390599975e-07,4.250939140584002e-05,7.579677136768996e-06,2.3498802865440003e-07,0.0027088248170889996,1.7954146683420036e-09,2.0162220522272518e-09,0.0003493852835132,0.00013869207964170005,3.2694800916459995e-06,8.403065812241985e-11,False,5
15,2.4049208780539997e-08,0.0023382863802413603,1.0894211114210023e-09,6.915000564588003e-07,0.0003410699382838,7.044856623426995e-05,1.512269464850999e-08,8.901423028214998e-05,5.373622032664999e-06,4.202582135330001e-05,2.250991401653999e-05,3.2709052178169974e-07,0.0027535910392409995,1.324114461427e-09,8.118132257982536e-09,0.00020886911018149992,0.00014036320541489994,2.9560899278469973e-06,1.480279490333998e-10,False,5
16,2.051283257885002e-08,0.002576705724665391,1.1468247506159977e-09,1.138295483197001e-06,0.00039448824551400005,5.198439956758e-05,1.0042105689590005e-08,8.887830219628e-05,8.468635942079998e-06,4.1914623229869986e-05,2.6032772596169987e-05,2.561617921710999e-07,0.0027476741783360008,1.3819335779419974e-09,1.0332883240315378e-08,0.00019146608909010004,0.0001407567006623,1.4448262183799995e-06,8.403078977054987e-11,False,5
17,2.051033382931001e-08,0.00255502766423712,1.760516220774999e-09,7.541365830623994e-07,0.0003991147044099001,5.413596050663996e-05,9.183754248347005e-09,8.900189116982992e-05,8.522200482415009e-06,4.2014715186e-05,2.6341507733569998e-05,3.3630037778740003e-07,0.0027382897342520013,1.3620982090749976e-09,1.0365381565304091e-08,0.00019226617809679994,0.00014039093590550002,3.4405826884639975e-06,8.403070801962001e-11,False,5
